[2025-10-22 12:25:28] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-22 12:25:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T16:25:30.520000+00:00', 'pinned': False, 'nonce': '1430592909974962176', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-08-30T02:38:11.493000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430592916900020275', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'b!hello', 'components': [], 'channel_type': 0, 'channel_id': '749457916351742032', 'author': {'username': 'deadalus.', 'public_flags': 0, 'primary_guild': {'tag': 'SCB', 'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'badge': '2c7aa014ee3599b6b7089ce933971852'}, 'id': '243520659022544902', 'global_name': 'Deadalus', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'SCB', 'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'badge': '2c7aa014ee3599b6b7089ce933971852'}, 'avatar_decoration_data': {'sku_id': '1423746348905136170', 'expires_at': None, 'asset': 'a_617f585217021efeae67deda61fdc595'}, 'avatar': 'a_4517f5447f82742a38397f734348d6d0'}, 'attachments': [], 'guild_id': '749457915928379454'}}
[2025-10-22 12:25:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 12:25:29] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 12:25:29] [DEBUG   ] discord.client: Dispatching event command
[2025-10-22 12:25:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T16:25:30.722000+00:00', 'pinned': False, 'nonce': '5545241351155440989', 'mentions': [{'username': 'deadalus.', 'public_flags': 0, 'primary_guild': {'tag': 'SCB', 'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'badge': '2c7aa014ee3599b6b7089ce933971852'}, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-08-30T02:38:11.493000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '243520659022544902', 'global_name': 'Deadalus', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'SCB', 'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'badge': '2c7aa014ee3599b6b7089ce933971852'}, 'avatar_decoration_data': {'sku_id': '1423746348905136170', 'expires_at': None, 'asset': 'a_617f585217021efeae67deda61fdc595'}, 'avatar': 'a_4517f5447f82742a38397f734348d6d0'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1430588449760739402'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T16:07:45.749226+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430592917747007549', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hello <@243520659022544902>', 'components': [], 'channel_type': 0, 'channel_id': '749457916351742032', 'author': {'username': 'Bookio', 'public_flags': 0, 'primary_guild': None, 'id': '1420592737673023602', 'global_name': None, 'display_name_styles': None, 'discriminator': '4867', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '749457915928379454'}}
[2025-10-22 12:25:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 12:25:29] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 12:25:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/749457916351742032/messages with {"content":"hello <@243520659022544902>","components":[],"nonce":"5545241351155440989","enforce_nonce":true,"tts":false} has returned 200
[2025-10-22 12:25:29] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-22 12:25:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/749457916351742032/messages has received {'type': 0, 'content': 'hello <@243520659022544902>', 'mentions': [{'id': '243520659022544902', 'username': 'deadalus.', 'avatar': 'a_4517f5447f82742a38397f734348d6d0', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'dec8d79a4aa06eaac4d81c76212a8bae', 'accent_color': 259, 'global_name': 'Deadalus', 'avatar_decoration_data': {'asset': 'a_617f585217021efeae67deda61fdc595', 'sku_id': '1423746348905136170', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000103', 'clan': {'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'tag': 'SCB', 'badge': '2c7aa014ee3599b6b7089ce933971852'}, 'primary_guild': {'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'tag': 'SCB', 'badge': '2c7aa014ee3599b6b7089ce933971852'}}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-22T16:25:30.722000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1430592917747007549', 'channel_id': '749457916351742032', 'author': {'id': '1420592737673023602', 'username': 'Bookio', 'avatar': None, 'discriminator': '4867', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '5545241351155440989'}
[2025-10-22 12:25:29] [DEBUG   ] discord.client: Dispatching event command_completion
